german,translation,translation_lang,date,sender,raw_message
Erlauben,Permitir,es,,notebook,Erlauben = Permitir
Zügeln,Admitir,es,,notebook,Zügeln = Admitir
Ergänzen,Completar,es,,notebook,Ergänzen = Completar
Überhaupt,En absoluto / Absolutamente,es,,notebook,Überhaupt = En absoluto / Absolutamente
die Geldbörse,Billetera,es,,notebook,die Geldbörse = Billetera
lehren,Lear/enseñar,es,,notebook,lehren = Lear/enseñar
Erlauben,Permitir,es,,notebook,Erlauben = Permitir
Zugleich,A la vez,es,,notebook,Zugleich = A la vez
Ergänzen,Completar,es,,notebook,Ergänzen = Completar
Überhaupt,En absoluto / Absolutamente,es,,notebook,Überhaupt = En absoluto / Absolutamente
darüber,Bezieht sich auf etwas Thema etwas worüber man genicht,unknown,,notebook,darüber = Bezieht sich auf etwas Thema etwas worüber man genicht
